Strain (NBRC#)	Sample #
13398	P610295-11C-001
12776	P610343-11C-001
15398	P610296-11E-001
13861	P610344-11E-001
13378	P610297-11G-001
13413	P610345-11G-001
12855	P610298-11J-001
13044	P610346-11J-001
12759	P610299-11L-001
12870	P610347-11L-001
13032	P610300-11N-001
12871	P610348-11N-001
100773	P610301-11P-001
13046	P610349-11P-001
12761	P610302-11R-001
13375	P610350-11R-001
13190	P610303-11T-001
12778	P610351-11T-001
12857	P610304-11V-001
12780	P610352-11V-001
12762	P610305-11X-001
12873	P610353-11X-001
13977	P610306-11Z-001
12899	P610354-11Z-001
13814	P610307-11B-001
13047	P610355-11B-001
13389	P610308-11D-001
13458	P610356-11D-001
15409	P610309-11F-001
12781	P610357-11F-001
101007	P610310-11H-001
12874	P610358-11H-001
13441	P610311-11K-001
3746	P610359-11K-001
12763	P610312-11M-001
12875	P610360-11M-001
14238	P610313-11Q-001
15744	P610361-11Q-001
15410	P610314-11S-001
102070	P610362-11S-001
12737	P610315-11U-001
12784	P610363-11U-001
12857	P610304-11V-001
12780	P610352-11V-001
12762	P610305-11X-001
12873	P610353-11X-001
13977	P610306-11Z-001
12899	P610354-11Z-001
13814	P610307-11B-001
13047	P610355-11B-001
13389	P610308-11D-001
13458	P610356-11D-001
15409	P610309-11F-001
12781	P610357-11F-001
101007	P610310-11H-001
12874	P610358-11H-001
13441	P610311-11K-001
3746	P610359-11K-001
12763	P610312-11M-001
12875	P610360-11M-001
14238	P610313-11Q-001
15744	P610361-11Q-001
15410	P610314-11S-001
102070	P610362-11S-001
12737	P610315-11U-001
12784	P610363-11U-001
13491	P610316-11W-001
14693	P610364-11W-001
12764	P610317-11Y-001
12786	P610365-11Y-001
13191	P610318-11Z-001
12877	P610366-11Z-001
12767	P610319-11C-001
12244	P610367-11C-001
12910	P610320-11E-001
13475	P610368-11E-001
12860	P610321-11G-001
13786	P610369-11G-001
13201	P610322-11J-001
16553	P610370-11J-001
12190	P610323-11L-001
13983	P610371-11L-001
13371	P610324-11N-001
100776	P610372-11N-001
12770	P610325-11P-001
13601	P610373-11P-001
100764	P610326-11R-001
100777	P610374-11R-001
12772	P610327-11T-001
102068	P610375-11T-001
12773	P610328-11V-001
14060	P610376-11V-001
12764	P610317-11Y-001
12786	P610365-11Y-001
13191	P610318-11Z-001
12877	P610366-11Z-001
12767	P610319-11C-001
12244	P610367-11C-001
12910	P610320-11E-001
13475	P610368-11E-001
12860	P610321-11G-001
13786	P610369-11G-001
13201	P610322-11J-001
16553	P610370-11J-001
12190	P610323-11L-001
13983	P610371-11L-001
13371	P610324-11N-001
100776	P610372-11N-001
12770	P610325-11P-001
13601	P610373-11P-001
100764	P610326-11R-001
100777	P610374-11R-001
12772	P610327-11T-001
102068	P610375-11T-001
12773	P610328-11V-001
14060	P610376-11V-001
13482	P610329-11X-001
13414	P610377-11X-001
13042	P610330-11Z-001
13851	P610378-11Z-001
12999	P610331-11B-001
13192	P610379-11B-001
12864	P610332-11D-001
12787	P610380-11D-001
13400	P610333-11F-001
12788	P610381-11F-001
15412	P610334-11H-001
15422	P610382-11H-001
12865	P610335-11K-001
12882	P610383-11K-001
12866	P610336-11M-001
12789	P610384-11M-001
15413	P610337-11Q-001
12903	P610385-11Q-001
12774	P610338-11S-001
13452	P610386-11S-001
100913	P610339-11U-001
15424	P610387-11U-001
15418	P610340-11W-001
12884	P610388-11W-001
12868	P610341-11Y-001
13054	P610389-11Y-001
13042	P610330-11Z-001
13851	P610378-11Z-001
12999	P610331-11B-001
13192	P610379-11B-001
12864	P610332-11D-001
12787	P610380-11D-001
13400	P610333-11F-001
12788	P610381-11F-001
